onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006043407	5	2	0	22.63	123	22.08	86
30.011567532	5	1	0	12.46	145	6.7	40
43.017421116	5	1	0	36.21	162	23.46	81
56.020330019	5	1	0	32.23	170	23.23	130
67.026159888	5	1	0	23.56	154	11.44	57
82.029647642	5	1	0	20.18	14	25.73	119
97.032769905	5	1	0	35.82	38	39.56	99
112.036122174	5	2	0	10.31	100	29.15	149
123.040490283	5	1	0	34.74	30	24.43	16
138.043471681	5	2	0	22.12	144	19.5	67
149.047717172	5	1	0	26.56	176	20.88	66
160.052717236	5	1	0	31.71	111	21.37	75
175.059755424	5	2	0	19.5	27	39.9	64
188.064234435	5	1	0	22.52	173	11.3	22
199.067885299	5	2	0	11.21	32	37.78	107
218.075585031	5	2	1	23.32	75	17.73	38
233.078001523	5	1	1	35.44	153	5.18	31
246.082219155	5	2	1	21.59	168	19.48	73
261.087589699	5	1	1	9.86	35	18.52	121
274.090662278	5	1	1	26.22	39	28.94	94
285.093067947	5	2	1	3.68	20	13.16	118
300.098060575	5	1	1	28.43	49	14.8	18
315.102896216	5	2	1	2.11	113	6.22	179
328.106847657	5	2	1	36.08	160	24.2	5
339.11227399	5	1	1	17.33	159	4.36	89
350.115484405	5	1	1	34.74	30	24.43	16
365.11855167	5	1	1	7.02	8	8.57	97
376.12389817	5	1	1	30.12	79	24.9	16
389.128852441	5	2	1	14.83	111	8.81	7
400.134432484	5	1	1	36.54	122	15.92	48
