onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.012069899	5	1	1	12.3	97	9.13	94
28.016673035	5	1	1	39.22	132	24.97	107
39.018974821	5	2	1	21.47	84	28.89	108
54.023392998	5	1	1	20.44	103	20.8	149
65.02711513	5	2	1	10.76	72	34.4	169
78.03049841	5	1	1	26.41	147	21.04	2
93.034975446	5	1	1	22.48	126	9.3	29
104.039590315	5	2	1	7.57	8	32.57	98
119.042866128	5	2	1	22.84	126	28.56	128
132.047562961	5	1	1	8.59	47	3.86	26
145.05176768	5	1	1	29.03	146	12.95	0
156.053552716	5	1	1	31.03	152	28.45	33
171.056224168	5	1	1	21.23	25	21.67	89
184.059315157	5	1	1	16.47	1	16.72	140
199.063524671	5	1	1	35.12	107	33.59	2
218.070209369	5	1	0	22.48	126	9.3	29
229.075134136	5	1	0	20.26	0	21.99	129
244.079899698	5	2	0	21.01	154	19.95	37
257.084239988	5	1	0	29.03	146	12.95	0
272.089235406	5	1	0	30.99	17	31.05	175
287.094152677	5	1	0	31.09	141	21.29	3
298.096967548	5	2	0	9.6	103	9.58	59
309.101457346	5	1	0	24.66	83	16.23	40
322.103725209	5	2	0	38.12	34	37.78	17
337.109839083	5	2	0	8.43	65	11.16	178
350.116771924	5	1	0	22.74	152	13.57	72
363.121155427	5	2	0	10.76	72	34.4	169
374.125032882	5	1	0	20.44	103	20.8	149
389.128278052	5	1	0	18.06	156	11.5	120
400.134393519	5	2	0	22.77	114	32.21	132
